,Unnamed: 0,pickup_loc_lat,pickup_loc_lon,dropoff_loc_lat,dropoff_loc_lon,pickup_time_day_of_week_sin,pickup_time_day_of_week_cos,pickup_time_of_day_sin,pickup_time_of_day_cos
9066087,9066087,-73.98994445800781,40.74181365966797,-73.98406219482422,40.75890350341797,0.0,1.0,-0.9496991262018768,-0.3131638064837503
6482431,6482431,-73.98706817626953,40.750770568847656,-73.97888946533203,40.76242446899414,0.8660254037844386,0.5000000000000001,-0.8660254037844384,-0.5000000000000004
5783551,5783551,-73.98705291748048,40.761089324951165,-74.00264739990233,40.75001907348633,-2.4492935982947064e-16,1.0,-0.0436193873653353,0.9990482215818578
4419422,4419422,-73.87474060058595,40.77415084838867,-73.94345855712889,40.74680709838867,0.0,1.0,0.0871557427476586,-0.9961946980917455
10401784,10401784,-74.00389862060547,40.738059997558594,-73.97389221191406,40.75654983520508,-2.4492935982947064e-16,1.0,-0.5482932295199143,0.8362861558477592
4701112,4701112,-73.99053955078125,40.73492050170898,-74.00271606445312,40.7285270690918,-2.4492935982947064e-16,1.0,0.1045284632676534,0.9945218953682732
7712942,7712942,-73.99124145507811,40.7440299987793,-74.01007080078125,40.721038818359375,0.8660254037844387,-0.4999999999999998,0.7163019434246544,-0.69779045984168
78174,78174,-73.9693603515625,40.795448303222656,-73.96653747558594,40.75761032104492,-0.8660254037844384,-0.5000000000000004,0.3907311284892737,0.9205048534524404
9214823,9214823,-73.97534942626953,40.790000915527344,-73.9635467529297,40.79983139038086,0.8660254037844386,0.5000000000000001,0.8141155183563192,-0.5807029557109398
3173937,3173937,-73.97270965576173,40.7907600402832,-73.97662353515625,40.76576614379882,-0.8660254037844384,-0.5000000000000004,-0.1564344650402307,-0.9876883405951378
3297674,3297674,-73.98503875732422,40.77888488769531,-73.98223876953125,40.72795486450195,-0.8660254037844386,0.5000000000000001,-0.9426414910921784,0.3338068592337709
964464,964464,-73.97296905517578,40.76510620117188,-73.99166870117188,40.73917388916016,0.0,1.0,-0.3173046564050919,-0.9483236552061994
3752077,3752077,-73.9847183227539,40.742408752441406,-73.97959136962889,40.73756408691406,0.8660254037844387,-0.4999999999999998,-0.6527597524627228,0.7575649843840493
290102,290102,-73.99152374267578,40.75553894042969,-73.9911880493164,40.750370025634766,-0.8660254037844384,-0.5000000000000004,-0.9961946980917455,-0.0871557427476582
4696332,4696332,-73.98719024658203,40.73903274536133,-73.97081756591797,40.75594329833984,-2.4492935982947064e-16,1.0,0.065403129230143,0.9978589232386036
5199565,5199565,-73.95419311523438,40.778900146484375,-73.94835662841797,40.7730712890625,-2.4492935982947064e-16,1.0,-0.2249510543438649,-0.9743700647852352
8626602,8626602,-73.78401947021484,40.64865493774414,-73.9856719970703,40.755218505859375,-0.8660254037844384,-0.5000000000000004,-0.9496991262018768,-0.3131638064837503
4367922,4367922,-73.98188781738281,40.76907730102539,-73.97211456298828,40.79143905639648,0.8660254037844386,0.5000000000000001,0.5591929034707469,-0.8290375725550416
8893297,8893297,-73.96738433837889,40.772159576416016,-73.94955444335938,40.77245330810546,-2.4492935982947064e-16,1.0,-0.2923717047227364,-0.9563047559630355
8202581,8202581,-73.97005462646483,40.76563262939453,-73.9621353149414,40.76457595825195,1.2246467991473532e-16,-1.0,-0.7826081568524138,-0.6225146366376196
8089652,8089652,-73.97159576416014,40.75293350219727,-73.99080657958984,40.750537872314446,1.2246467991473532e-16,-1.0,0.6461239796429638,-0.7632324697825289
6187400,6187400,-73.98725891113281,40.729270935058594,-74.02610778808595,40.621578216552734,0.0,1.0,-0.9271838545667874,0.3746065934159119
4640364,4640364,-73.99140930175781,40.735111236572266,-73.98222351074217,40.76396942138672,-0.8660254037844384,-0.5000000000000004,0.065403129230143,0.9978589232386036
9169111,9169111,-73.98857116699219,40.74599838256836,-74.00752258300781,40.716121673583984,0.8660254037844386,0.5000000000000001,0.0392598157590686,0.9992290362407228
519209,519209,-73.97316741943358,40.75523376464844,-73.98224639892578,40.7429084777832,-0.8660254037844386,0.5000000000000001,-0.9411760152563706,-0.337916718003327
5174468,5174468,-73.95854949951173,40.76423645019531,-73.94702911376953,40.77250289916992,0.0,1.0,-0.8338858220671683,0.551936985312058
2721332,2721332,-73.97159576416014,40.75121307373047,-73.99029541015625,40.75141143798828,0.8660254037844386,0.5000000000000001,-0.6755902076156598,-0.7372773368101244
10130536,10130536,-74.0022964477539,40.73318862915039,-73.98764038085938,40.730125427246094,-0.8660254037844386,0.5000000000000001,-0.7009092642998509,-0.7132504491541816
1453916,1453916,-74.00556945800781,40.75089263916016,-73.99488830566406,40.75007629394531,1.2246467991473532e-16,-1.0,-0.9790454724845836,-0.2036417511401782
6825230,6825230,-73.97427368164062,40.76502990722656,-73.98356628417967,40.75220489501953,-0.8660254037844384,-0.5000000000000004,-0.9006982393225882,0.4344452574044165
8082152,8082152,-73.9912567138672,40.73311614990234,-74.00088500976561,40.724285125732415,1.2246467991473532e-16,-1.0,0.7163019434246544,-0.69779045984168
7923416,7923416,-73.9842071533203,40.726295471191406,-73.97714233398438,40.751907348632805,0.8660254037844387,-0.4999999999999998,-0.8681988144891425,0.4962165036752077
6135545,6135545,-73.9788818359375,40.76184844970703,-73.98177337646483,40.76845932006836,0.0,1.0,-0.9753423205085126,-0.2206974350215016
6272810,6272810,-73.97859191894531,40.7617301940918,-73.98715209960938,40.74703979492188,0.8660254037844386,0.5000000000000001,0.2334453638559054,0.9723699203976766
4773126,4773126,-74.00255584716798,40.7445068359375,-74.01034545898438,40.71980667114258,0.8660254037844386,0.5000000000000001,-0.9999904807207344,-0.0043633092847464
7784402,7784402,-73.9782943725586,40.7248420715332,-73.99268341064453,40.724369049072266,0.8660254037844387,-0.4999999999999998,-0.2292003909224138,-0.9733792584604484
2909200,2909200,-74.00775909423827,40.7249412536621,-73.98954772949219,40.72990798950195,0.8660254037844386,0.5000000000000001,-0.7223639620597561,0.691513055782269
1467920,1467920,-73.9987030029297,40.7613410949707,-73.98197937011719,40.76799392700195,1.2246467991473532e-16,-1.0,-0.984807753012208,0.1736481776669299
7344805,7344805,-74.00259399414062,40.73362731933594,-73.98419952392578,40.74591064453125,-0.8660254037844386,0.5000000000000001,-0.0261769483078735,0.9996573249755571
8712750,8712750,-74.01087188720702,40.70319747924805,-73.97562408447266,40.75177001953125,-0.8660254037844384,-0.5000000000000004,-0.8141155183563196,0.5807029557109393
2499657,2499657,-73.986572265625,40.74016952514648,-74.0105972290039,40.709739685058594,0.8660254037844386,0.5000000000000001,0.1779435454738418,-0.9840406976462908
4492708,4492708,-74.00965881347656,40.734050750732415,-73.96977233886719,40.785682678222656,1.2246467991473532e-16,-1.0,-0.6691306063588581,0.7431448254773942
2602788,2602788,-74.01367950439453,40.70668029785156,-74.00464630126953,40.72147750854492,-0.8660254037844386,0.5000000000000001,-0.1478094111296106,-0.9890158633619168
9751506,9751506,-73.97502899169923,40.75577163696289,-73.99455261230467,40.71958923339844,1.2246467991473532e-16,-1.0,-0.9636304532086232,0.2672383760782567
7414744,7414744,-73.98691558837889,40.760887145996094,-73.974365234375,40.78824234008789,-2.4492935982947064e-16,1.0,0.788010753606722,0.6156614753256583
7821622,7821622,-73.97493743896483,40.7533073425293,-73.98973083496092,40.752754211425774,0.8660254037844387,-0.4999999999999998,-0.7040147244559685,-0.7101853756232853
1144157,1144157,-73.96188354492188,40.80061340332031,-73.97665405273438,40.780418395996094,0.8660254037844386,0.5000000000000001,-0.9799247046208296,-0.1993679344171973
8336437,8336437,-73.97831726074217,40.76424026489258,-73.99507141113281,40.71242904663086,1.2246467991473532e-16,-1.0,-0.6087614290087209,0.7933533402912349
9831760,9831760,-74.001220703125,40.75159454345703,-73.99226379394531,40.76390075683594,-0.8660254037844384,-0.5000000000000004,0.8681988144891423,0.4962165036752081
10432475,10432475,-73.95506286621092,40.78335189819336,-73.98162841796875,40.75968170166016,-0.8660254037844384,-0.5000000000000004,0.700909264299851,-0.7132504491541815
